collision_events_mean,collision_free_success_mean,command_acc_rms_mps2_mean,command_active_fraction_mean,command_jerk_p95_mps3_mean,experiment,maze_type,min_clearance_m_mean,n,path_efficiency_mean,role,scenario,timeout_penalized_s_mean,turn_response_penalized_s_mean
0.0,0.5,3.31436785788924,0.9804606346893463,16.601878427508904,corridor,all,0.6989543643780053,80,0.5230606870318677,variant,all,12.769215885137484,3.7198889615373303
0.0,0.6,3.245682408897278,1.0,18.098905625572407,temporal,1,0.5125548660755157,10,0.6528837103407416,baseline,straight,11.797239999999999,0.7227690000000001
0.0,0.6,3.097752049402854,1.0,15.198537252324437,temporal,2,0.6512793675065041,10,0.6961612812920526,baseline,straight,11.298660000000002,2.047142
0.0,0.4,3.2729841032955966,1.0,17.856254275599277,temporal,5,0.3799848578870296,10,0.4787875486571786,baseline,straight,16.202370000000002,4.143802
0.0,0.8,3.0042466768219156,1.0,15.21424146836281,temporal,7,0.83079913854599,10,0.6570875842635078,baseline,straight,10.74973,1.278537
0.0,0.6,3.1551663096044114,1.0,16.591984655464735,temporal,all,0.5936545575037598,40,0.62123003113837,baseline,straight,12.512,2.0480625000000003
0.3,0.6,3.7090301728938484,1.0,19.132878864249882,temporal,1,0.46622044444084165,10,0.42112034115399527,baseline,dynamic,11.696625828300153,4.9380326807011174
0.0,0.8,3.36346289589678,1.0,14.779939018959695,temporal,2,1.247371244430542,10,0.642956197369128,baseline,dynamic,7.327852664900268,5.762105808799764
0.0,0.2,3.5644917983548745,1.0,18.380217802395954,temporal,5,0.6872674316167832,10,0.2946949065088025,baseline,dynamic,15.943773429899414,4.954469094998808
0.0,0.4,3.1702789017488824,1.0,15.128890972215157,temporal,7,0.673813946545124,10,0.36717445312648644,baseline,dynamic,14.185353180799448,7.900381799199728
0.075,0.5,3.451815942223596,1.0,16.855481664455176,temporal,all,0.7686682667583227,40,0.43148647453960304,baseline,dynamic,12.288401275974822,5.8887473459248545
0.15,0.6,3.477356290895564,1.0,18.615892244911144,temporal,1,0.48938765525817873,20,0.5370020257473684,baseline,all,11.746932914150076,2.830400840350559
0.0,0.7,3.2306074726498166,1.0,14.989238135642065,temporal,2,0.949325305968523,20,0.6695587393305904,baseline,all,9.313256332450134,3.904623904399881
0.0,0.3,3.4187379508252356,1.0,18.11823603899762,temporal,5,0.5336261447519064,20,0.3867412275829905,baseline,all,16.07307171494971,4.549135547499405
0.0,0.6,3.0872627892853988,1.0,15.17156622028898,temporal,7,0.7523065425455571,20,0.512131018694997,baseline,all,12.467541590399723,4.589459399599864
0.0375,0.55,3.3034911259140047,1.0,16.723733159959956,temporal,all,0.6811614121310413,80,0.5263582528389866,baseline,all,12.40020063798741,3.968404922962428
0.4,0.4,3.5589505626213254,1.0,17.303905915822465,temporal,1,0.323831707239151,10,0.45690272428724377,variant,straight,16.12775,0.772573
0.0,0.5,3.0600292773746114,1.0,13.245622475955035,temporal,2,0.6340758845210075,10,0.5191451777932021,variant,straight,14.84732,9.03872
0.0,0.4,3.2482271844791812,1.0,16.370550252692126,temporal,5,0.41767553612589836,10,0.41831916997804564,variant,straight,16.3203,2.9005840000000003
0.2,0.7,3.100642505064697,1.0,14.524214146211008,temporal,7,0.5090786248445511,10,0.6065428859929735,variant,straight,12.840609999999998,1.306475
0.15,0.5,3.2419623823849535,1.0,15.361073197670157,temporal,all,0.471165438182652,40,0.5002274895128662,variant,straight,15.033994999999999,3.5045879999999996
0.0,0.6,3.715878442877287,1.0,17.5219606756799,temporal,1,0.5193058311939239,10,0.4054381462371953,variant,dynamic,12.139412286900477,5.51171760160051
0.1,0.6,3.39470448890955,1.0,15.104400904825642,temporal,2,0.9017400979995728,10,0.4307748585355009,variant,dynamic,12.294443224800519,6.820719946399784
0.0,0.1,3.600673732578899,1.0,17.054542510019356,temporal,5,0.5251635327935219,10,0.23443737321179808,variant,dynamic,16.827239679598993,11.933883094998809
0.8,0.3,3.461704062991958,1.0,18.2710325840167,temporal,7,0.5294602766633034,10,0.352505508848753,variant,dynamic,14.39010924599988,5.256919648399332
0.225,0.4,3.5432401818394226,1.0,16.9879841686354,temporal,all,0.6189174346625805,40,0.3557889717083118,variant,dynamic,13.912801109324965,7.380810072849608
0.2,0.5,3.6374145027493063,1.0,17.412933295751184,temporal,1,0.42156876921653746,20,0.43117043526221954,variant,all,14.133581143450238,3.1421453008002547
0.05,0.55,3.22736688314208,1.0,14.175011690390338,temporal,2,0.7679079912602902,20,0.4749600181643515,variant,all,13.57088161240026,7.929719973199892
0.0,0.25,3.42445045852904,1.0,16.712546381355743,temporal,5,0.47141953445971013,20,0.32637827159492183,variant,all,16.573769839799493,7.417233547499403
0.5,0.5,3.281173284028328,1.0,16.39762336511385,temporal,7,0.5192694507539273,20,0.47952419742086316,variant,all,13.615359622999938,3.2816973241996656
0.1875,0.45,3.3926012821121887,1.0,16.17452868315278,temporal,all,0.5450414364226163,80,0.428008230610589,variant,all,14.473398054662482,5.442699036424804
