collision_episode_rate,collision_free_success_rate,command_acc_rms_mean_mps2,command_active_fraction_mean,command_jerk_p95_mean_mps3,experiment,maze_type,min_clearance_mean_m,n,path_efficiency_mean,role,scenario,timeout_penalized_time_mean_s,turn_response_penalized_mean_s
0.0,0.6,3.0345475769316597,0.9774737353226804,13.743402161384358,jerk_topk3,2,0.547485987842083,10,0.5451121166482835,variant,straight,14.098990000000004,8.287866
0.0,0.7,3.2611503246901123,0.997594551072812,16.63671037160027,jerk_topk3,5,0.45811024904251096,10,0.5625005770598891,variant,straight,13.4094,5.569876
0.0,0.7,3.0870719868076297,0.9765858095815645,13.463524322583336,jerk_topk3,7,0.7471144080162049,10,0.6176329210397655,variant,straight,12.043949999999999,1.3227879999999999
0.0,0.6,3.208424589626398,0.9841589427597232,15.253995795278126,jerk_topk3,all,0.5503561619669199,40,0.5613839005675137,variant,straight,13.56654,3.9810567499999996
0.0,0.3,3.659909619793369,0.944,16.861032142457656,jerk_topk3,1,0.47216812074184417,10,0.3540348309093428,variant,dynamic,14.671132938600095,6.5516629364000725
0.0,0.6,3.286978324045272,0.9957714285714285,14.370758624863532,jerk_topk3,2,1.0105861276388168,10,0.48175783502017644,variant,dynamic,10.81595104410005,5.723882965199958
0.0,0.0,3.5365008209575004,1.0,15.98880204903863,jerk_topk3,5,0.5852059900760651,10,0.20532075517145887,variant,dynamic,17.499846749099742,14.089930749099745
0.0,0.5,3.213338361867612,0.951887682055993,14.200541647711919,jerk_topk3,7,0.7405893966555596,10,0.38886903878927337,variant,dynamic,13.131568204500065,5.698349410999908
0.0,0.35,3.4241817816659377,0.9729147776568553,15.355283616017934,jerk_topk3,all,0.7021374087780714,40,0.3574956149725629,variant,dynamic,14.029624734074991,8.01595651542492
0.0,0.35,3.55541904493478,0.9644908375309177,17.016689234001095,jerk_topk3,1,0.4604410618543625,20,0.4371624092157299,variant,all,14.69247646930005,3.6476799682000354
0.0,0.6,3.1607629504884653,0.9866225819470544,14.057080393123945,jerk_topk3,2,0.7790360577404499,20,0.5134349758342298,variant,all,12.457470522050025,7.00587448259998
0.0,0.35,3.3988255728238066,0.9987972755364061,16.312756210319453,jerk_topk3,5,0.521658119559288,20,0.38391066611567404,variant,all,15.454623374549872,9.82990337454987
0.0,0.6,3.150205174337621,0.9642367458187788,13.832032985147626,jerk_topk3,7,0.7438519023358822,20,0.5032509799145195,variant,all,12.587759102250034,3.510568705499954
0.0,0.475,3.3163031856461687,0.9785368602082892,15.304639705648032,jerk_topk3,all,0.6262467853724957,80,0.4594397577700384,variant,all,13.798082367037495,5.998506632712461
0.0,0.5,3.329186672643277,0.996588661613219,18.399997092658374,corridor_calibrated,1,0.4770148903131485,10,0.6229745611946341,baseline,straight,12.734179999999999,0.725231
0.0,0.6,3.097901485358379,0.9994813278008298,14.937893988450629,corridor_calibrated,2,0.6519863680005074,10,0.6959740689997779,baseline,straight,11.2973,2.0365569999999997
0.0,0.5,3.2895273261294022,0.9925057300249291,18.413166569971064,corridor_calibrated,5,0.4015645354986191,10,0.54208290635151,baseline,straight,14.39428,1.532897
0.0,0.8,2.95637184270171,0.9656486211365616,15.579944495383277,corridor_calibrated,7,0.8681475341320037,10,0.6567961276776311,baseline,straight,10.88335,1.285443
0.0,0.6,3.168246831708192,0.988556085143885,16.832750536615837,corridor_calibrated,all,0.5996783319860697,40,0.6294569160558883,baseline,straight,12.3272775,1.395032
0.0,0.4,3.661113563173141,0.9443956043956044,18.153723769062672,corridor_calibrated,1,0.526627191901207,10,0.35861024528556185,baseline,dynamic,14.49706844009997,6.03334746269992
0.0,0.8,3.4453292283305403,1.0,14.446237660618312,corridor_calibrated,2,1.2414153933525085,10,0.6585128356549983,baseline,dynamic,7.105552688200069,5.740294089200254
0.0,0.2,3.530366226271093,1.0,19.127403115996042,corridor_calibrated,5,0.614634495973587,10,0.30061198428890934,baseline,dynamic,15.927588473300307,3.335569298700625
0.0,0.2,3.217294740948405,0.8961142857142856,15.088786850036191,corridor_calibrated,7,0.7061901718378067,10,0.37159624800270175,baseline,dynamic,15.54261034199996,6.912559383899942
0.0,0.4,3.4635259396807947,0.9601274725274725,16.704037848928305,corridor_calibrated,all,0.7722168132662773,40,0.4223328283080428,baseline,dynamic,13.268204985900075,5.505442558625186
0.0,0.45,3.495150117908209,0.9704921330044118,18.276860430860523,corridor_calibrated,1,0.5018210411071777,20,0.49079240324009793,baseline,all,13.615624220049984,3.3792892313499614
0.0,0.7,3.2716153568444604,0.9997406639004149,14.692065824534472,corridor_calibrated,2,0.9467008806765079,20,0.677243452327388,baseline,all,9.201426344100033,3.888425544600127
0.0,0.35,3.4099467762002478,0.9962528650124647,18.77028484298355,corridor_calibrated,5,0.508099515736103,20,0.4213474453202098,baseline,all,15.160934236650155,2.4342331493503124
0.0,0.5,3.086833291825058,0.9308814534254237,15.334365672709733,corridor_calibrated,7,0.7871688529849052,20,0.5141961878401664,baseline,all,13.21298017099998,4.09900119194997
